Product,Specific Gravity,Purpose
Up-6,0.980,Rheology/Emulsification
Base Mud 9.4 ppg,1.126,Other
ABS-40,0.828,Base Oils
ALFA MUL,0.950,Emulsifier
Alfa Mul NT 501,0.959,Emulsifier 
ALFA SURF,0.930,Emulsifier
ALL-TEMP,0.860,Rheology / Filtration
ALPHA-TEC,0.775,Base Oil
ALPLEX,1.000,Shale Control
ALUMINUM STEARATE,2.130,Defoamer
Amodrill 1000 Olefin,0.790,Base Oils
AMODRILL 1410,0.775,Base Oil
AMPLI-FOAM,1.010,Defoamer
AQUA-COL,1.013,Shale Control
AQUA-COL B,1.000,Shale Control
AQUA-COL D,1.000,Shale Control
AQUA-COL S,1.000,Shale Control
AQUA-MAGIC®,1.060,Lubricant
ATTAPULGITE CLAY,2.400,Rheology / Filtration
Baker Squeez,1.890,Loss Circulation
Bentone 42,1.700,Rheology / Filtration 
Bentone 990,1.700,Rheology / Filtration 
Bentonite Ashapura,2.500,Rheology / Filtration
BG 5500,0.860,Base Oil
BG-6200,0.866,Base Oil
BioBase 300,0.763,Base Oils 
BioBase 360,0.780,Base Oils 
BIO-BASE 851,0.781,Base Oils 
BIO-BASE 866,0.782,Base Oils 
BIO-COTE,0.910,Emulsifier
BIO-LOSE,1.450,Rheology / Filtration
BIO-PAQ,1.450,Rheology / Filtration
BIO-SPOT,1.040,Rheology / Filtration
BIO-SPOT II,1.010,Rheology / Filtration
BLACKMAGIC SFT,1.040,Rheology / Filtration
BP83HF,0.812,Base Oil
BRINE-PAC,1.003,Corrosion Inhibitor
BRINE-PAC 1500,1.020,Corrosion Inhibitor
BRINE-PAC 2000,1.320,Corrosion Inhibitor
BRINE-PAC 3N1,1.015,Corrosion Inhibitor
BRINOIL,0.905,Emulsifier
C-16 IO,0.790,Base Oils 
C16/C18 IO,0.790,Base Oil
Ca(NO3)2,2.500,Salts 
CaBr2,3.350,Salt
CaCl2,2.150,Salt
Calcium Carbonate ,2.710,Weight material/Bridging
Calcium Carbonate M200,2.710,Weight material/Bridging
Calcium Carbonate M325,2.710,Weight material/Bridging
Calcium Carbonate M40-100,2.710,Weight material/Bridging
CALTROL,1.800,HTHP Filtration
Canola Oil,0.930,Base Oils 
Carbo Mul TH,0.886,Emulsifier 
CARBO-GEL,1.700,Rheology / Filtration
CARBO-GEL II,1.700,Rheology / Filtration
CARBOLITE,2.720,Rheology / Filtration
CARBO-MIX,0.950,Emulsifier
CARBO-MUL,0.926,Emulsifier
CARBO-MUL HT,0.934,Emulsifier
CARBO-MUL HT/Smooth Fluid,0.873,Emulsifier
CARBO-MUL LT,0.900,Emulsifier
CARBO-MUL Plus,0.980,Emulsifier
CARBO-MUL R,0.950,Emulsifier
CARBO-SEAL,1.050,Emulsifier
CARBO-TEC,0.950,Emulsifier
CARBO-TEC L,0.950,Emulsifier
CARBO-TEC LT,0.934,Emulsifier
CARBO-TEC Plus,0.980,Emulsifier
CARBO-TEC S,0.947,Rheology/Emulsification
CARBO-TROL,1.200,Rheology / Filtration
CARBO-TROL 375,1.050,Rheology / Filtration
CARBO-TROL A9,1.440,Rheology / Filtration
CARBO-TROL HT,1.050,Rheology / Filtration
CARBO-TROL XHT,1.050,Rheology / Filtration
CARBO-VIS,1.700,Rheology / Filtration
CARBO-VIS HT,0.220,Rheology / Filtration
CARBO-VIS XHT,1.020,Rheology / Filtration
CASSING WASH 200,1.000,Other 
CAUSTIC POTASH,2.044,pH Control
CAUSTIC SODA,2.130,pH Control
Cement,3.150,Weight Material 
CF-2002,0.811,Base Oil
Champion Tech Product 6099,1.100,Surfactant
CHEK-LOSS,0.900,LCM
CHEK-LOSS PLUS,0.900,LCM
CHEMTROL X,1.550,Rheology / Filtration
China White Oil,0.820,Base Oils 
CHROME FREE II,0.500,Rheology / Filtration
CLAIRSOL 350M HF,0.788,Base Oil
CLAIRSOL 370,0.790,Base Oil
CLARISOL NS,0.800,Base Oil
CLAY-TROL,1.010,Shale Control
CMC HV,1.600,Rheology / Filtration
CMC LV,1.600,Rheology / Filtration
Cottonseed Oil,0.920,Base Oil
Crude Oil,0.818,Base Oil
DEEP-SWEEP,4.200,Weight Material 
DEFOAM HB,0.885,Defoamer
DENSIMIX,5.100,Weight
Desco,1.600,Rheology / Filtration 
Desco CF,1.600,Rheology / Filtration 
Desco CF II,1.600,Rheology / Filtration 
DFE-1210,1.000,Rheology / Filtration 
DFE-126,1.100,Rheology / Filtration 
DFE-127,2.600,Rheology / Filtration
DFE-1410,0.834,Rheology / Filtration
DFE-1411,0.815,Rheology / Filtration
DFE-1412,0.830,Rheology / Filtration
DFE-1503,1.000,Rheology / Filtration
DFE-1504,4.200,Rheology / Filtration
DFE-1513,1.200,Rheology / Filtration
DFE-1627,1.030,Rheology / Filtration 
DFE-1716,0.761,Lubricant
DFE-239,1.400,Lubricant
DFE-240,1.400,Lubricant
DFE-241,1.150,Lubricant
DFE-244,2.600,Shale Control
DFE-245,1.030,Shale Control
DFE-304,0.955,Shale Control
DFE-309,1.340,Shale Control
DFE-310,1.102,Rheology / Filtration
DFE-418,0.926,Rheology / Filtration
DFE-429,2.660,Other 
DFE-430,1.690,Other 
DFE-433,0.905,Other 
DFE-434,1.740,Rheology / Filtration
DFE-446,1.700,HTHP Filtration 
DFE-456,1.030,Rheology / Filtration 
DFE-458,1.000,Rheology modifier
DFE-459,0.950,Emulsifier
DFE-466,0.920,Rheology / Filtration
DFE-468,0.960,Emulsifier 
DFE-468,0.960,Emulsifier 
DFE-469,0.900,Rheology / Filtration
DFE-470,0.880,Emulsifier 
DFE-471,1.700,Rheology / Filtration
DFE-472,1.720,HTHP Filtration 
DFE-609,1.088,Other 
DFE-622,0.983,Lubricant 
DFE-626,1.027,Other 
DFE-634,1.070,Lubricant
DFE-705,1.000,Other 
DFE-707,1.000,Other 
DFE-710,1.700,Other 
DFE-712,1.008,Other 
DFE-713,2.200,Other 
DFE-714,1.010,Other 
DFE-717,1.050,Other 
DFE-718,1.690,Other 
DFE-911,0.900,Other 
Diesel,0.840,Base Oil
DMO 4000,0.816,Base Oil
Drill-Thin,1.600,Rheology / Filtration
Driscal D,1.440,HTHP Filtration 
Driscal D,1.440,Rheology / Filtration
Drispac,1.500,HTHP Filtration 
DrisPac,1.500,Rheology / Filtration
Drispac SL,1.500,Rheology / Filtration
DrisTemp,1.440,Rheology / Filtration
DRYOCIDE,0.700,Biocide
ECCO-BAR,4.200,Weight
ECCO-LUBE,1.010,Lubricant
ECCO-MUL,0.899,Emulsifier
ECCO-MUL E,0.870,Emulsifier
ECCO-PAC LV,1.600,Rheology / Filtration
ECCO-PAC R,1.600,Rheology / Filtration
ECCO-TEC,0.910,Emulsifier
ECCO-VIS,1.700,Rheology / Filtration
ECOFLOW,0.780,Base Oil
EDC 95-08,0.806,Base Oil
EDC 95-11,0.820,Base Oil
EDC99-DW,0.815,Base Oil
EFB,1.500,LCM 
EMO 4000,0.820,Base Oil
Epi Mul 4080,0.950,Emulsifier 
ESCAID 110,0.807,Base Oil
Escaid 120,0.820,Base Oils 
ESCAID 2000,0.800,Base Oil
ESCAID 240,0.800,Base Oil
EXP1,0.835,Lubricant 
EXP-171,0.784,Base Oil
EXP-175,1.020,Other 
EXP2,0.931,Lubricant 
EXP3,0.973,Lubricant 
EXXSOL D80,0.803,Base Oil
FILTREX,0.860,Deflocculant
FinaGreen VLV,0.860,Base Oil
FL 1790,1.010,Filtration Control
FLDF 400,0.955,HTHP Filtration 
FLOW-CARB 10,2.710,Other 
FLOW-CARB 20,2.710,Other 
FLOW-CARB 5,2.710,Other 
FLOW-CLEAN,0.840,Other 
FLOW-CLEAN CMT,0.840,Other 
FLOW-CLEAN SA,0.840,Other 
FLOW-CLEAN V,0.870,Other 
FLOW-CLEAN VIS,0.870,Other 
FLOW-MUL,0.928,Other 
FLOW-SURF,1.010,Other 
FLOW-SURF S,1.010,Other 
FLOWZAN,1.600,Rheology / Filtration 
GILSONITE,1.130,HTHP Filtration
Glycerine,1.260,Hydrate Inhibitor 
GOLD FLUSH,0.835,Other 
GOLD FLUSH II,0.840,Other 
